iter	Passed	Remaining
0	60	30373
1	65	16337
2	69	11442
3	70	8788
4	74	7329
5	76	6297
6	79	5589
7	81	5027
8	84	4589
9	86	4259
10	89	4000
11	93	3806
12	96	3604
13	99	3470
14	102	3321
15	104	3164
16	107	3042
17	109	2932
18	112	2844
19	114	2754
20	116	2666
21	118	2575
22	121	2528
23	124	2473
24	127	2421
25	129	2368
26	132	2325
27	135	2277
28	137	2225
29	139	2186
30	141	2134
31	143	2103
32	146	2073
33	147	2024
34	150	1998
35	153	1980
36	156	1956
37	159	1934
38	161	1911
39	164	1886
40	165	1856
41	167	1824
42	169	1800
43	172	1782
44	174	1768
45	176	1739
46	178	1719
47	181	1705
48	183	1693
49	186	1678
50	189	1669
51	192	1656
52	194	1644
53	198	1636
54	200	1621
55	202	1603
56	204	1592
57	207	1584
58	210	1572
59	212	1554
60	214	1543
61	217	1534
62	219	1523
63	222	1517
64	225	1508
65	227	1496
66	230	1486
67	232	1477
68	235	1472
69	238	1466
70	241	1460
71	244	1451
72	247	1444
73	250	1440
74	253	1434
75	255	1424
76	258	1420
77	260	1407
78	262	1400
79	265	1393
80	268	1387
81	269	1375
82	272	1367
83	274	1360
84	277	1352
85	279	1346
86	281	1338
87	284	1332
88	287	1326
89	290	1322
90	293	1320
91	295	1308
92	296	1299
93	299	1293
94	302	1289
95	304	1279
96	307	1276
97	309	1270
98	312	1265
99	315	1260
100	318	1257
101	319	1246
102	322	1243
103	324	1234
104	326	1229
105	330	1227
106	333	1224
107	336	1220
108	338	1215
109	341	1211
110	344	1205
111	346	1199
112	348	1192
113	350	1188
114	352	1180
115	355	1175
116	357	1170
117	360	1166
118	362	1161
119	365	1156
120	367	1150
121	370	1146
122	372	1142
123	375	1137
124	377	1131
125	378	1123
126	380	1118
127	383	1113
128	385	1109
129	387	1101
130	389	1098
131	391	1091
132	394	1088
133	396	1082
134	398	1078
135	401	1075
136	404	1072
137	407	1068
138	409	1063
139	412	1061
140	415	1058
141	416	1051
142	419	1046
143	422	1043
144	425	1041
145	427	1036
146	428	1028
147	430	1024
148	433	1020
149	435	1016
150	438	1013
151	441	1010
152	442	1004
153	443	997
154	446	992
155	448	989
156	451	985
157	452	979
158	454	975
159	456	969
160	459	966
161	461	963
162	463	959
163	467	957
164	469	953
165	472	951
166	474	945
167	476	942
168	478	937
169	482	936
170	484	932
171	487	929
172	490	926
173	492	922
174	494	918
175	495	912
176	498	909
177	499	903
178	500	897
179	504	896
180	506	893
181	509	889
182	511	886
183	514	884
184	517	880
185	519	877
186	522	874
187	525	871
188	527	868
189	530	865
190	532	862
191	535	859
192	538	856
193	540	852
194	543	849
195	545	846
196	549	844
197	552	842
198	555	840
199	557	836
200	560	833
201	562	830
202	566	828
203	569	825
204	571	822
205	574	819
206	576	816
207	579	813
208	582	811
209	585	808
210	588	806
211	592	805
212	595	802
213	598	800
214	601	797
215	604	794
216	607	792
217	609	788
218	612	786
219	615	783
220	619	782
221	622	778
222	624	775
223	626	772
224	630	770
225	633	767
226	635	764
227	638	761
228	640	758
229	644	756
230	646	752
231	649	750
232	652	747
233	655	745
234	658	742
235	661	739
236	664	736
237	666	734
238	669	731
239	672	728
240	675	725
241	678	723
242	681	721
243	684	718
244	687	715
245	690	712
246	693	710
247	696	708
248	699	705
249	703	703
250	705	699
251	708	697
252	711	694
253	714	691
254	717	689
255	721	687
256	724	684
257	727	681
258	730	679
259	733	676
260	736	674
261	739	671
262	741	668
263	744	665
264	746	662
265	749	659
266	752	656
267	755	653
268	759	652
269	762	649
270	765	646
271	768	644
272	771	641
273	774	639
274	777	636
275	780	633
276	783	631
277	787	628
278	790	625
279	793	623
280	796	620
281	798	617
282	801	614
283	804	612
284	807	609
285	810	606
286	813	604
287	816	601
288	819	598
289	822	595
290	824	592
291	827	589
292	830	587
293	834	584
294	837	581
295	839	578
296	843	576
297	846	573
298	848	570
299	852	568
300	855	565
301	858	562
302	861	560
303	863	557
304	866	554
305	868	550
306	871	548
307	875	545
308	878	542
309	880	539
310	883	536
311	886	534
312	889	531
313	892	528
314	895	525
315	898	522
316	900	520
317	904	517
318	906	514
319	909	511
320	912	508
321	915	506
322	919	503
323	922	501
324	925	498
325	928	495
326	930	492
327	934	489
328	937	487
329	940	484
330	943	481
331	945	478
332	948	475
333	951	473
334	954	470
335	957	467
336	960	464
337	963	461
338	966	458
339	968	455
340	971	453
341	975	450
342	978	447
343	981	444
344	984	442
345	986	439
346	989	436
347	992	433
348	996	430
349	998	427
350	1001	425
351	1004	422
352	1007	419
353	1009	416
354	1012	413
355	1016	411
356	1018	408
357	1021	405
358	1023	402
359	1026	399
360	1028	396
361	1031	393
362	1034	390
363	1037	387
364	1040	384
365	1043	382
366	1046	379
367	1048	376
368	1051	373
369	1054	370
370	1057	367
371	1060	364
372	1063	362
