PID,CRM_PID_Value_Segment,EffectiveSegment,Billing_ZIP,KA_name,Active_subscribers,Not_Active_subscribers,Suspended_subscribers,Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,CHURN,Billing_ZIP_norm,postal_code,bg_place_count,bg_place_name,bg_admin1_name,bg_admin1_code,bg_admin2_name,bg_admin2_code,bg_admin3_name,bg_admin3_code,bg_latitude,bg_longitude,bg_geo_accuracy,bg_zip_found,bg_distance_sofia_km,bg_distance_plovdiv_km,bg_distance_varna_km,bg_distance_burgas_km,bg_min_big_city_distance_km
123759242,Bronze,SOHO,6000.0,VM,2,,,2,40.17,0.0,40.17,,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
126145737,Bronze,SOHO,6400.0,VM,3,,,3,40.17,0.0,40.17,13.39,No,6400,6400,1.0,Dimitrovgrad,Khaskovo,HKV,Dimitrovgrad,HKV09,Unknown,HKV09-00,42.05,25.6,4.0,1,200.51034202353338,71.16037599980346,229.36071356275139,161.36595796695596,71.16037599980346
123506355,Bronze,SOHO,6000.0,DI,2,3.0,,5,40.17,0.0,40.17,20.09,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
112595585,Bronze,SOHO,4400.0,MT,1,2.0,,3,40.17,0.0,40.17,40.17,No,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
115097935,Iron,SOHO,4000.0,AD,2,1.0,,3,40.17,0.0,40.17,20.09,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
108684074,Gold,VSE,6600.0,RJ,2,11.0,,13,40.17,0.0,40.17,20.09,No,6600,6600,2.0,Jastreb,Kurdzhali,KRZ,Kurdzhali,KRZ16,Jastreb,KRZ16-00,41.7,25.3917,4.0,1,203.40563261829217,72.14136744862495,266.7855629308034,192.86100989912083,72.14136744862495
112504678,Bronze,SOHO,4644.0,MT,4,,,4,40.33,0.0,40.33,10.08,Yes,4644,4644,1.0,Kostandovo,Pazardzhik,PAZ,Rakitovo,PAZ24,Kostandovo,PAZ24-02,42.0167,24.1167,4.0,1,99.99474506520194,53.534015154552456,338.06742338824495,280.6269143489993,53.534015154552456
833121152,Iron,SOHO,6100.0,VM,5,2.0,,7,40.33,0.0,40.33,8.07,No,6100,6100,1.0,Kazanluk,Stara Zagora,SZR,Kazanluk,SZR12,Unknown,SZR12-00,42.6167,25.4,4.0,1,170.1709917630914,75.87065506274772,215.27795996537586,169.38401939323634,75.87065506274772
123654309,Iron,SOHO,6100.0,DI,3,,,3,40.33,0.0,40.33,13.44,No,6100,6100,1.0,Kazanluk,Stara Zagora,SZR,Kazanluk,SZR12,Unknown,SZR12-00,42.6167,25.4,4.0,1,170.1709917630914,75.87065506274772,215.27795996537586,169.38401939323634,75.87065506274772
123688980,Bronze,SOHO,6280.0,AD?,1,,,1,40.33,0.0,40.33,40.33,No,6280,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
112624478,Bronze,SOHO,4550.0,MT,3,,,3,40.5,0.0,40.5,13.5,No,4550,4550,1.0,Peshhera,Pazardzhik,PAZ,Peshhera,PAZ21,Unknown,PAZ21-00,42.0333,24.3,4.0,1,109.15625825691836,38.46176483175916,323.5492970384987,265.44190202890354,38.46176483175916
833063667,Bronze,SOHO,6000.0,VM,4,1.0,,5,40.5,0.0,40.5,10.13,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123756730,Iron,SOHO,6000.0,DI,2,,,2,40.5,0.0,40.5,20.25,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
115080505,Iron,SOHO,4230.0,AD,4,,,4,40.67,0.0,40.67,10.17,No,4230,4230,1.0,Asenovgrad,Plovdiv,PDV,Asenovgrad,PDV01,Unknown,PDV01-00,42.0167,24.8667,4.0,1,147.8011643459345,16.571203952998182,282.7049725927932,220.40467032061503,16.571203952998182
112593997,Bronze,SOHO,4550.0,MT,5,1.0,,6,40.83,0.0,40.83,8.17,No,4550,4550,1.0,Peshhera,Pazardzhik,PAZ,Peshhera,PAZ21,Unknown,PAZ21-00,42.0333,24.3,4.0,1,109.15625825691836,38.46176483175916,323.5492970384987,265.44190202890354,38.46176483175916
115028540,Bronze,SOHO,4300.0,AD,3,1.0,,4,40.83,0.0,40.83,13.61,No,4300,4300,1.0,Karlovo,Plovdiv,PDV,Karlovo,PDV13,Unknown,PDV13-00,42.6333,24.8,4.0,1,121.06601916677577,55.54593654691657,261.68645816218674,218.50127556101208,55.54593654691657
115050907,Iron,SOHO,4015.0,AD,3,8.0,,11,40.83,0.0,40.83,13.61,No,4015,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115082883,Gold,VSE,4000.0,AD,7,25.0,,32,40.83,0.0,40.83,5.83,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
112594661,Bronze,SOHO,4500.0,AD,2,,,2,40.83,0.0,40.83,20.42,No,4500,4500,1.0,Panagjurishhe,Pazardzhik,PAZ,Panagjurishhe,PAZ20,Unknown,PAZ20-00,42.5,24.1833,4.0,1,73.85428803185029,61.47150141666384,314.31621916907767,268.8153894635235,61.47150141666384
123104639,Bronze,SOHO,6000.0,AD?,1,3.0,,4,40.83,0.0,40.83,40.83,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
112131909,Iron,SOHO,4400.0,MT,4,,,4,41.0,0.0,41.0,10.25,Yes,4400,4400,1.0,Pazardzhik,Pazardzhik,PAZ,Pazardzhik,PAZ19,Unknown,PAZ19-00,42.2,24.3333,4.0,1,99.74365653985194,34.70675472453587,313.5754291926386,259.3578863477639,34.70675472453587
115505931,Iron,SOHO,4004.0,VU,4,,,4,41.0,0.0,41.0,10.25,No,4004,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115514204,Bronze,SOHO,4017.0,VU,6,,,6,41.0,0.0,41.0,6.83,No,4017,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115093883,Iron,SOHO,4023.0,VT,5,,,5,41.0,0.0,41.0,8.2,No,4023,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
200992943,Iron,SOHO,6000.0,VM,4,,,4,41.0,0.0,41.0,10.25,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123622279,Iron,SOHO,6000.0,DI,3,,,3,41.0,0.0,41.0,13.67,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
123025540,Bronze,SOHO,6000.0,AD?,3,3.0,,6,41.0,0.0,41.0,13.67,No,6000,6000,1.0,Stara Zagora,Stara Zagora,SZR,Stara Zagora,SZR31,Unknown,SZR31-00,42.4328,25.6419,4.0,1,192.26171142190228,80.83141300043403,204.70016172235472,149.54972685984384,80.83141300043403
115235628,Bronze,SOHO,4000.0,AD,3,7.0,,10,41.17,0.0,41.17,13.72,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
30240535,Bronze,SOHO,4004.0,VU,3,2.0,,5,41.17,0.0,41.17,13.72,No,4004,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,0,,,,,
115121023,Bronze,SOHO,4000.0,VU,1,4.0,,5,41.17,0.0,41.17,41.17,No,4000,4000,2.0,Plovdiv,Plovdiv,PDV,Marica,PDV17,Vojsil,PDV17-03,42.183350000000004,24.69165,4.0,1,126.11282602967418,6.927035076065666,287.21971441584645,230.50929645602469,6.927035076065666
115023205,Bronze,SOHO,4230.0,VT,4,1.0,,5,41.17,0.0,41.17,10.29,No,4230,4230,1.0,Asenovgrad,Plovdiv,PDV,Asenovgrad,PDV01,Unknown,PDV01-00,42.0167,24.8667,4.0,1,147.8011643459345,16.571203952998182,282.7049725927932,220.40467032061503,16.571203952998182
