model,strategy,sample_weight_mode,scale_pos_weight,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,test_geomean_f1_recall,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_2,test_recall_at_0_2,test_precision_at_0_2,test_f1_at_0_25,test_recall_at_0_25,test_precision_at_0_25,test_f1_at_0_3,test_recall_at_0_3,test_precision_at_0_3,test_f1_at_0_35,test_recall_at_0_35,test_precision_at_0_35,test_f1_at_0_4,test_recall_at_0_4,test_precision_at_0_4,test_f1_at_0_5,test_recall_at_0_5,test_precision_at_0_5
random_xgb_20,random_search_fallback,none,5.1993593630927855,0.12098396569490433,0.14925373134328357,0.5652377666609166,0.09236767140157043,0.3012041500562518,1.651,0.12098396569490433,0.1425661914460285,0.08027522935779817,0.6363636363636364,779,802,40,70,0.5156712004730929,0.5,0.05755395683453238,0.13793103448275862,0.03636363636363636,1556,25,106,4,0.01714961561206387,0.13451327433628318,0.34545454545454546,0.08351648351648351,0.12935323383084577,0.23636363636363636,0.08904109589041095,0.12286689419795221,0.16363636363636364,0.09836065573770492,0.12173913043478261,0.12727272727272726,0.11666666666666667,0.08648648648648649,0.07272727272727272,0.10666666666666667,0.05755395683453238,0.03636363636363636,0.13793103448275862
xgb_ambiguous_positive_spw5,hierarchical_hard_positive_weighting,ambiguous_positive,5.0,0.658236563205719,0.146163215590743,0.5536484388476799,0.08532948467289805,0.2645013408021076,1.29,0.658236563205719,0.1374233128834356,0.07943262411347518,0.509090909090909,932,649,54,56,0.4169130691898285,0.5,0.12939001848428835,0.0720164609053498,0.6363636363636364,679,902,40,70,0.5748078060319338,0.12109375,0.8454545454545455,0.06521739130434782,0.12757201646090535,0.8454545454545455,0.06899109792284866,0.13062409288824384,0.8181818181818182,0.07097791798107256,0.13271604938271606,0.7818181818181819,0.07251264755480608,0.12855980471928397,0.7181818181818181,0.07059874888293119,0.12939001848428835,0.6363636363636364,0.0720164609053498
random_xgb_22,random_search_fallback,none,7.921388673009356,0.08210369944572449,0.13980582524271845,0.5510436432637571,0.09236610804535979,0.2835596786755098,1.357,0.08210369944572449,0.13401015228426397,0.07542857142857143,0.6,772,809,44,66,0.5174452986398581,0.5,0.08383233532934131,0.12280701754385964,0.06363636363636363,1531,50,103,7,0.033707865168539325,0.13168724279835392,0.2909090909090909,0.0851063829787234,0.10810810810810811,0.18181818181818182,0.07692307692307693,0.12040133779264214,0.16363636363636364,0.09523809523809523,0.11067193675889328,0.12727272727272726,0.0979020979020979,0.12389380530973451,0.12727272727272726,0.1206896551724138,0.08383233532934131,0.06363636363636363,0.12280701754385964
random_xgb_21,random_search_fallback,none,9.552652404747029,0.1114942654967308,0.14104372355430184,0.5525185440745214,0.08750104392217137,0.23337687546804536,1.253,0.1114942654967308,0.13313609467455623,0.07950530035335689,0.4090909090909091,1060,521,65,45,0.33471318746303963,0.5,0.08588957055214724,0.1320754716981132,0.06363636363636363,1535,46,103,7,0.03134240094618569,0.12106537530266344,0.22727272727272727,0.08250825082508251,0.11275964391691394,0.17272727272727273,0.08370044052863436,0.10921501706484642,0.14545454545454545,0.08743169398907104,0.12195121951219512,0.13636363636363635,0.11029411764705882,0.11267605633802817,0.10909090909090909,0.11650485436893204,0.08588957055214724,0.06363636363636363,0.1320754716981132
random_xgb_06,random_search_fallback,none,4.538782761522327,0.07625600695610046,0.14350590372388738,0.5539848197343454,0.0863832069173362,0.28583794479201413,1.148,0.07625600695610046,0.13216715257531583,0.07399347116430903,0.6181818181818182,730,851,42,68,0.543465405085748,0.5,0.0547945205479452,0.1111111111111111,0.03636363636363636,1549,32,106,4,0.021289178001182733,0.11337868480725624,0.22727272727272727,0.0755287009063444,0.11515151515151516,0.17272727272727273,0.08636363636363636,0.12549019607843137,0.14545454545454545,0.1103448275862069,0.12093023255813953,0.11818181818181818,0.12380952380952381,0.09248554913294797,0.07272727272727272,0.12698412698412698,0.0547945205479452,0.03636363636363636,0.1111111111111111
random_xgb_24,random_search_fallback,none,5.985210326654172,0.1991029977798462,0.15776081424936386,0.5564832384566729,0.09664517101930302,0.24455799402225922,0.882,0.1991029977798462,0.13157894736842105,0.07692307692307693,0.45454545454545453,981,600,60,50,0.384387936132466,0.5,0.08641975308641975,0.1346153846153846,0.06363636363636363,1536,45,103,7,0.03075103489059728,0.12980132450331125,0.44545454545454544,0.07596899224806201,0.11510791366906475,0.2909090909090909,0.07174887892376682,0.12437810945273632,0.22727272727272727,0.08561643835616438,0.10847457627118644,0.14545454545454545,0.08648648648648649,0.1145374449339207,0.11818181818181818,0.1111111111111111,0.08641975308641975,0.06363636363636363,0.1346153846153846
random_xgb_19,random_search_fallback,none,5.330614474614892,0.06179346889257431,0.14316239316239318,0.5368437697659709,0.08173816714768399,0.2650380767378072,1.578,0.06179346889257431,0.1309655937846837,0.07458912768647281,0.5363636363636364,849,732,51,59,0.4677705499704317,0.5,0.055944055944055944,0.12121212121212122,0.03636363636363636,1552,29,106,4,0.019515079834417505,0.11904761904761904,0.18181818181818182,0.08849557522123894,0.08955223880597014,0.10909090909090909,0.0759493670886076,0.09734513274336283,0.1,0.09482758620689655,0.09230769230769231,0.08181818181818182,0.10588235294117647,0.08284023668639054,0.06363636363636363,0.11864406779661017,0.055944055944055944,0.03636363636363636,0.12121212121212122
xgb_focal_balanced_spw5,focal_style_reweighting,focal_balanced,5.0,0.9067509770393372,0.13734939759036144,0.5429360013800242,0.08793504927358323,0.25304470070199,1.053,0.9067509770393372,0.13043478260869565,0.07520891364902507,0.4909090909090909,917,664,56,54,0.42460082791247783,0.5,0.11914401388085599,0.06361951822112415,0.9363636363636364,65,1516,7,103,0.9574216439976345,0.12249443207126949,1.0,0.06524317912218268,0.12263099219620958,1.0,0.06532066508313539,0.12199216564073867,0.990909090909091,0.06499701848539058,0.12121212121212122,0.9818181818181818,0.0645933014354067,0.12076749435665914,0.9727272727272728,0.06438026474127558,0.11914401388085599,0.9363636363636364,0.06361951822112415
random_xgb_14,random_search_fallback,none,4.482452524022358,0.2573864758014679,0.16379310344827586,0.5622822149387615,0.09640012261928167,0.19079181101796575,0.884,0.2573864758014679,0.12916666666666668,0.08378378378378379,0.2818181818181818,1242,339,79,31,0.21880544056771142,0.5,0.017543859649122806,0.25,0.00909090909090909,1578,3,109,1,0.002365464222353637,0.13872832369942195,0.5454545454545454,0.07947019867549669,0.1343570057581574,0.3181818181818182,0.0851581508515815,0.11842105263157894,0.16363636363636364,0.09278350515463918,0.12807881773399016,0.11818181818181818,0.13978494623655913,0.11180124223602485,0.08181818181818182,0.17647058823529413,0.017543859649122806,0.00909090909090909,0.25
xgb_base_spw5,baseline_requested_params,none,5.0,0.12682998180389404,0.14988290398126464,0.5494451152895176,0.08676685026693437,0.2483586877260272,1.199,0.12682998180389404,0.1280193236714976,0.07381615598885793,0.4818181818181818,916,665,57,53,0.42460082791247783,0.5,0.07194244604316546,0.1724137931034483,0.045454545454545456,1557,24,105,5,0.01714961561206387,0.11909650924024641,0.2636363636363636,0.07692307692307693,0.12021857923497267,0.2,0.0859375,0.12056737588652482,0.15454545454545454,0.09883720930232558,0.11504424778761062,0.11818181818181818,0.11206896551724138,0.10695187165775401,0.09090909090909091,0.12987012987012986,0.07194244604316546,0.045454545454545456,0.1724137931034483
