scenario,strategy,valid_for_real_world,notes,model,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_25,test_recall_at_0_25,test_precision_at_0_25,test_f1_at_0_3,test_recall_at_0_3,test_precision_at_0_3,test_f1_at_0_35,test_recall_at_0_35,test_precision_at_0_35,test_f1_at_0_4,test_recall_at_0_4,test_precision_at_0_4,test_f1_at_0_5,test_recall_at_0_5,test_precision_at_0_5
external_random_fusion,unpaired_external_feature_sample,True,External telco behavior columns are randomly assigned to Baza PID rows; no target alignment.,XGB_d3_spw,0.5427181720733643,0.16338028169014085,0.5385486746018054,0.10201458810867929,0.868,0.5427181720733643,0.147239263803681,0.1111111111111111,0.21818181818181817,1389,192,86,24,0.1277350680070964,0.5,0.13747228381374724,0.09090909090909091,0.2818181818181818,1271,310,79,31,0.20165582495564754,0.12039660056657224,0.7727272727272727,0.065284178187404,0.11802748585286985,0.6636363636363637,0.064773735581189,0.12233009708737864,0.5727272727272728,0.06847826086956521,0.1259259259259259,0.4636363636363636,0.07285714285714286,0.13747228381374724,0.2818181818181818,0.09090909090909091
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,XGB_cost_spw_28.8,0.5407824516296387,0.15724815724815724,0.5547668334195848,0.08781515394371821,0.794,0.5407824516296387,0.14622057001239158,0.08464849354375897,0.5363636363636364,943,638,51,59,0.4121821407451212,0.5,0.14345991561181434,0.081145584725537,0.6181818181818182,811,770,42,68,0.4955647545830869,0.12307692307692308,0.8727272727272727,0.06620689655172414,0.1214574898785425,0.8181818181818182,0.06559766763848396,0.12129963898916968,0.7636363636363637,0.06588235294117648,0.12440944881889764,0.7181818181818181,0.06810344827586207,0.14345991561181434,0.6181818181818182,0.081145584725537
external_random_fusion,unpaired_external_feature_sample,True,External telco behavior columns are randomly assigned to Baza PID rows; no target alignment.,LGBM_leaf7_unbalance,0.44290014502319863,0.13580246913580246,0.5327583232706572,0.07963979663723786,0.461,0.44290014502319863,0.13893376413570274,0.08447937131630648,0.39090909090909093,1115,466,67,43,0.3010053222945003,0.5,0.1291866028708134,0.08766233766233766,0.24545454545454545,1300,281,83,27,0.18214074512123005,0.12235649546827794,0.7363636363636363,0.06672158154859967,0.11353711790393013,0.5909090909090909,0.06280193236714976,0.12083333333333333,0.5272727272727272,0.06823529411764706,0.12532637075718014,0.43636363636363634,0.07317073170731707,0.1291866028708134,0.24545454545454545,0.08766233766233766
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,LGBM_cost_spw_21.6,0.29208188412488484,0.141025641025641,0.5440543959519292,0.08661106136496492,0.641,0.29208188412488484,0.13732004429678848,0.07818411097099622,0.5636363636363636,850,731,48,62,0.4689532820816085,0.5,0.0970873786407767,0.06622516556291391,0.18181818181818182,1299,282,90,20,0.1785925487876996,0.13746369796708616,0.6454545454545455,0.07692307692307693,0.12866817155756208,0.5181818181818182,0.07345360824742268,0.12777053455019557,0.44545454545454544,0.0745814307458143,0.11708860759493671,0.33636363636363636,0.07088122605363985,0.0970873786407767,0.18181818181818182,0.06622516556291391
external_random_fusion,unpaired_external_feature_sample,True,External telco behavior columns are randomly assigned to Baza PID rows; no target alignment.,XGB_d2_spw,0.5939253568649292,0.16842105263157894,0.5441320223103904,0.08935361011197926,0.704,0.5939253568649292,0.1366906474820144,0.1130952380952381,0.17272727272727273,1432,149,91,19,0.09934949733885275,0.5,0.14726027397260275,0.09071729957805907,0.39090909090909093,1150,431,67,43,0.280307510348906,0.1207115628970775,0.8636363636363636,0.06489071038251366,0.11980267794221283,0.7727272727272727,0.06493506493506493,0.1182033096926714,0.6818181818181818,0.06471095772217429,0.1254681647940075,0.6090909090909091,0.06993736951983298,0.14726027397260275,0.39090909090909093,0.09071729957805907
baseline_pid_risk,static_pid_ka_zip_features,True,Raw PID is excluded; only non-target PID aggregates and train-only KA/ZIP encodings are used.,XGB_d2_spw,0.5458226203918457,0.1725067385444744,0.5585302742798,0.09729541569880662,1.049,0.5458226203918457,0.13636363636363635,0.0944055944055944,0.24545454545454545,1322,259,83,27,0.16913069189828503,0.5,0.15920398009950248,0.0973630831643002,0.43636363636363634,1136,445,62,48,0.29154346540508574,0.12043795620437957,0.9,0.06453715775749674,0.12337662337662338,0.8636363636363636,0.06643356643356643,0.12354651162790697,0.7727272727272727,0.06714060031595577,0.12575366063738158,0.6636363636363637,0.06945765937202664,0.15920398009950248,0.43636363636363634,0.0973630831643002
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,XGB_cost_spw_21.6,0.4917297065258026,0.1512820512820513,0.5516272784773734,0.08535597045155155,0.858,0.4917297065258026,0.13594771241830064,0.07938931297709924,0.4727272727272727,978,603,58,52,0.38734476641040805,0.5,0.12737127371273713,0.07484076433121019,0.42727272727272725,1000,581,63,47,0.371377882909521,0.12401055408970976,0.8545454545454545,0.06685633001422475,0.12455767869780608,0.8,0.06753645433614736,0.12461059190031153,0.7272727272727273,0.06814310051107325,0.13656783468104222,0.6909090909090909,0.07577268195413758,0.12737127371273713,0.42727272727272725,0.07484076433121019
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,RF_balanced_subsample_deep,0.46345817920323223,0.17006802721088438,0.5197400954516703,0.09264498644884878,2.783,0.46345817920323223,0.13286713286713286,0.10795454545454546,0.17272727272727273,1424,157,91,19,0.10408042578356003,0.5,0.12244897959183673,0.13953488372093023,0.10909090909090909,1507,74,98,12,0.0508574807806032,0.11732605729877217,0.7818181818181819,0.06342182890855458,0.12418300653594772,0.6909090909090909,0.06822262118491922,0.12556053811659193,0.509090909090909,0.07161125319693094,0.11398963730569948,0.3,0.07036247334754797,0.12244897959183673,0.10909090909090909,0.13953488372093023
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,XGB_cost_spw_43.2,0.7411076426506042,0.1576086956521739,0.5548013340233453,0.08797752615995591,0.816,0.7411076426506042,0.1326530612244898,0.09219858156028368,0.23636363636363636,1325,256,84,26,0.1667652276759314,0.5,0.13192182410423453,0.07245080500894455,0.7363636363636363,544,1037,29,81,0.6611472501478415,0.12012383900928793,0.8818181818181818,0.06445182724252492,0.1203104786545925,0.8454545454545455,0.06476323119777158,0.11906354515050167,0.8090909090909091,0.06425992779783393,0.12253521126760564,0.7909090909090909,0.06641221374045801,0.13192182410423453,0.7363636363636363,0.07245080500894455
cost_sensitive_static,extreme_class_weight_and_thresholds,True,Static features only; XGBoost/LightGBM positive-class weights are swept above the observed imbalance.,XGB_cost_spw_14.4,0.49627596139907837,0.15704387990762125,0.5560692312115462,0.08694182647745746,0.818,0.49627596139907837,0.12831858407079647,0.0847953216374269,0.2636363636363636,1268,313,81,29,0.20224719101123595,0.5,0.12669683257918551,0.08433734939759036,0.2545454545454545,1277,304,82,28,0.19633353045535187,0.12112472963229992,0.7636363636363637,0.06577916992952232,0.12674897119341563,0.7,0.06968325791855204,0.14624505928853754,0.6727272727272727,0.082039911308204,0.14195183776932827,0.509090909090909,0.08247422680412371,0.12669683257918551,0.2545454545454545,0.08433734939759036
