scenario,valid_for_real_world,model,family,scale_pos_weight,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_35,test_precision_at_0_35,test_recall_at_0_35,test_pred_pos_rate_at_0_35,test_f1_at_0_4,test_precision_at_0_4,test_recall_at_0_4,test_pred_pos_rate_at_0_4,test_f1_at_0_45,test_precision_at_0_45,test_recall_at_0_45,test_pred_pos_rate_at_0_45,test_f1_at_0_5,test_precision_at_0_5,test_recall_at_0_5,test_pred_pos_rate_at_0_5
baza_train_only_pid_risk,True,LGBM_spw_6_leaf15,lightgbm,6.0,0.14132323555679183,0.14079074252651883,0.5426427462480594,0.09103958622218533,0.651,0.14132323555679183,0.13569321533923304,0.07607497243660419,0.6272727272727273,743,838,41,69,0.5363690124186872,0.5,0.08860759493670886,0.14583333333333334,0.06363636363636363,1540,41,103,7,0.028385570668243643,0.10996563573883161,0.08839779005524862,0.14545454545454545,0.10703725606150206,0.10526315789473684,0.1016949152542373,0.10909090909090909,0.06978119455943228,0.10526315789473684,0.125,0.09090909090909091,0.04730928444707274,0.08860759493670886,0.14583333333333334,0.06363636363636363,0.028385570668243643
baza_train_only_pid_risk,True,XGB_spw_5_d5,xgboost,5.0,0.11957602202892303,0.15081206496519722,0.548088091541602,0.08560449644055523,1.265,0.11957602202892303,0.13110846245530394,0.07544581618655692,0.5,907,674,55,55,0.43110585452395034,0.5,0.07042253521126761,0.15625,0.045454545454545456,1554,27,105,5,0.018923713778829097,0.11711711711711711,0.11607142857142858,0.11818181818181818,0.06623299822590184,0.10695187165775401,0.12987012987012986,0.09090909090909091,0.04553518628030751,0.07547169811320754,0.12244897959183673,0.05454545454545454,0.02897693672383205,0.07042253521126761,0.15625,0.045454545454545456,0.018923713778829097
baza_train_only_pid_risk,True,LGBM_spw_5.5_leaf15,lightgbm,5.5,0.13683831670248708,0.14285714285714285,0.5217123799666494,0.08641542611162459,0.668,0.13683831670248708,0.12770339855818744,0.07200929152148665,0.5636363636363636,782,799,48,62,0.5091661738616203,0.5,0.07092198581560284,0.16129032258064516,0.045454545454545456,1555,26,105,5,0.018332347723240685,0.109375,0.0958904109589041,0.12727272727272726,0.08633944411590774,0.0861244019138756,0.09090909090909091,0.08181818181818182,0.058545239503252515,0.09248554913294797,0.12698412698412698,0.07272727272727272,0.03725606150206978,0.07092198581560284,0.16129032258064516,0.045454545454545456,0.018332347723240685
baza_train_only_pid_risk,True,XGB_spw_4_d5,xgboost,4.0,0.11679285764694214,0.144853875476493,0.5522022885400495,0.08551921245003949,1.909,0.11679285764694214,0.1266490765171504,0.07407407407407407,0.43636363636363634,981,600,62,48,0.38320520402128916,0.5,0.05970149253731343,0.16666666666666666,0.03636363636363636,1561,20,106,4,0.014192785334121822,0.11458333333333333,0.13414634146341464,0.1,0.04849201655824956,0.09467455621301775,0.13559322033898305,0.07272727272727272,0.03489059727971614,0.08,0.15,0.05454545454545454,0.02365464222353637,0.05970149253731343,0.16666666666666666,0.03636363636363636,0.014192785334121822
baza_train_only_pid_risk,True,LGBM_spw_4.5_leaf15,lightgbm,4.5,0.1939306556097532,0.13793103448275862,0.5319245586797768,0.09033061064676026,0.788,0.1939306556097532,0.1252236135957066,0.0779510022271715,0.3181818181818182,1167,414,75,35,0.26552335895919577,0.5,0.07407407407407407,0.2,0.045454545454545456,1561,20,105,5,0.01478415138971023,0.09865470852017937,0.09734513274336283,0.1,0.06682436428149024,0.0898876404494382,0.11764705882352941,0.07272727272727272,0.04021289178001183,0.06756756756756757,0.13157894736842105,0.045454545454545456,0.02247191011235955,0.07407407407407407,0.2,0.045454545454545456,0.01478415138971023
baza_train_only_pid_risk,True,XGB_spw_5.5_d5,xgboost,5.5,0.13464167714118958,0.1508034610630408,0.5496607440630211,0.08494239864228675,1.286,0.13464167714118958,0.1248339973439575,0.07309486780715396,0.42727272727272725,985,596,63,47,0.38024837374334713,0.5,0.053691275167785234,0.10256410256410256,0.03636363636363636,1546,35,106,4,0.023063276167947958,0.12334801762114538,0.11965811965811966,0.12727272727272726,0.06918982850384388,0.11702127659574468,0.14102564102564102,0.1,0.046126552335895916,0.08484848484848485,0.12727272727272726,0.06363636363636363,0.03252513305736251,0.053691275167785234,0.10256410256410256,0.03636363636363636,0.023063276167947958
baza_train_only_pid_risk,True,XGB_spw_6_d5,xgboost,6.0,0.15540863573551178,0.15062761506276154,0.5465441895233166,0.08519970091986098,1.434,0.15540863573551178,0.12298682284040996,0.07329842931937172,0.38181818181818183,1050,531,68,42,0.33885274985215846,0.5,0.06666666666666667,0.125,0.045454545454545456,1546,35,105,5,0.02365464222353637,0.11864406779661017,0.1111111111111111,0.12727272727272726,0.07451212300413956,0.12307692307692308,0.1411764705882353,0.10909090909090909,0.050266114725014785,0.11560693641618497,0.15873015873015872,0.09090909090909091,0.03725606150206978,0.06666666666666667,0.125,0.045454545454545456,0.02365464222353637
baza_plus_unpaired_external_behavior,True,LGBM_spw_4.5_leaf15,lightgbm,4.5,0.1635097579270518,0.13612565445026178,0.5106146857570006,0.07024656613974517,0.809,0.1635097579270518,0.12152777777777778,0.07510729613733906,0.3181818181818182,1150,431,75,35,0.2755765819041987,0.5,0.0,0.0,0.0,1576,5,110,0,0.0029568302779420462,0.03508771929824561,0.04918032786885246,0.02727272727272727,0.036073329390892965,0.04195804195804196,0.09090909090909091,0.02727272727272727,0.019515079834417505,0.031007751937984496,0.10526315789473684,0.01818181818181818,0.011235955056179775,0.0,0.0,0.0,0.0029568302779420462
baza_plus_unpaired_external_behavior,True,XGB_spw_4.5_d5,xgboost,4.5,0.03616573289036751,0.13696808510638298,0.5023690414582256,0.07298303785671437,1.689,0.03616573289036751,0.12137559002022927,0.06554989075018208,0.8181818181818182,298,1283,20,90,0.8119455943228858,0.5,0.0,0.0,0.0,1577,4,110,0,0.002365464222353637,0.06134969325153374,0.09433962264150944,0.045454545454545456,0.03134240094618569,0.02857142857142857,0.06666666666666667,0.01818181818181818,0.017740981667652277,0.01652892561983471,0.09090909090909091,0.00909090909090909,0.006505026611472502,0.0,0.0,0.0,0.002365464222353637
baza_plus_unpaired_external_behavior,True,XGB_spw_5_d5,xgboost,5.0,0.14452718198299408,0.1440536013400335,0.5055545972054512,0.0727195782298527,1.616,0.14452718198299408,0.12121212121212122,0.0743801652892562,0.32727272727272727,1133,448,74,36,0.28622117090479005,0.5,0.0,0.0,0.0,1573,8,110,0,0.004730928444707274,0.056818181818181816,0.07575757575757576,0.045454545454545456,0.03903015966883501,0.03896103896103896,0.06818181818181818,0.02727272727272727,0.026020106445890007,0.03076923076923077,0.1,0.01818181818181818,0.011827321111768185,0.0,0.0,0.0,0.004730928444707274
