model,scale_pos_weight,imbalance_mode,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_3,test_recall_at_0_3,test_precision_at_0_3,test_f1_at_0_35,test_recall_at_0_35,test_precision_at_0_35,test_f1_at_0_4,test_recall_at_0_4,test_precision_at_0_4,test_f1_at_0_5,test_recall_at_0_5,test_precision_at_0_5,blend_members,blend_weighting
blend_top4_percentile_valf1,,validation_percentile_blend,0.8891361783121485,0.17796610169491525,0.545247541831982,0.09649864176233611,13.145,0.8891361783121485,0.12549019607843137,0.1103448275862069,0.14545454545454545,1452,129,94,16,0.08574807806031934,0.5,0.13499480789200416,0.07620164126611957,0.5909090909090909,793,788,45,65,0.5044352454169131,0.1225114854517611,0.7272727272727273,0.06688963210702341,0.12248186946011282,0.6909090909090909,0.0671971706454465,0.12660393498716851,0.6727272727272727,0.06987724268177525,0.13499480789200416,0.5909090909090909,0.07620164126611957,RF_balanced_subsample;XGB_aucpr_d2_spw;CatBoost_balanced_d4;XGB_aucpr_d3_spw,validation_f1
blend_top3_percentile_equal,,validation_percentile_blend,0.7967671988961167,0.17721518987341772,0.5406675866827669,0.09378969301336294,12.783,0.7967671988961167,0.1588089330024814,0.10921501706484642,0.2909090909090909,1320,261,78,32,0.1732702542874039,0.5,0.13043478260869565,0.07359813084112149,0.5727272727272728,788,793,47,63,0.5062093435836783,0.11969696969696969,0.7181818181818181,0.0652892561983471,0.12048192771084337,0.6818181818181818,0.06607929515418502,0.12703862660944207,0.6727272727272727,0.07014218009478673,0.13043478260869565,0.5727272727272728,0.07359813084112149,RF_balanced_subsample;XGB_aucpr_d2_spw;CatBoost_balanced_d4,equal
blend_top3_probability_equal,,validation_probability_blend,0.5017900589738558,0.175,0.54431027542982,0.09208542264799326,12.419,0.5017900589738558,0.15384615384615385,0.10457516339869281,0.2909090909090909,1307,274,78,32,0.1809580130100532,0.5,0.1523809523809524,0.1032258064516129,0.2909090909090909,1303,278,78,32,0.18332347723240686,0.11958762886597939,0.7909090909090909,0.06468401486988848,0.12179487179487179,0.6909090909090909,0.06678383128295255,0.1309164149043303,0.5909090909090909,0.07361268403171008,0.1523809523809524,0.2909090909090909,0.1032258064516129,RF_balanced_subsample;XGB_aucpr_d2_spw;CatBoost_balanced_d4,equal
RF_balanced_subsample,,class_weight,0.4733747241358828,0.17431192660550457,0.5176355586222758,0.09387714274907671,2.168,0.4733747241358828,0.12826603325415678,0.08681672025723473,0.24545454545454545,1297,284,83,27,0.18391484328799526,0.5,0.12244897959183673,0.09782608695652174,0.16363636363636364,1415,166,92,18,0.10881135422826729,0.12164813603662525,0.8454545454545455,0.06553911205073996,0.1187214611872146,0.7090909090909091,0.06478405315614617,0.11099691675231244,0.4909090909090909,0.06257242178447277,0.12244897959183673,0.16363636363636364,0.09782608695652174,,
XGB_aucpr_d2_spw,14.413373860182372,scale_pos_weight,0.547347903251648,0.17174515235457066,0.5566614915761026,0.09241888215719862,1.18,0.547347903251648,0.13829787234042554,0.09774436090225563,0.23636363636363636,1341,240,84,26,0.15730337078651685,0.5,0.14334470989761092,0.08823529411764706,0.38181818181818183,1147,434,68,42,0.2814902424600828,0.12141427618412275,0.8272727272727273,0.06551475881929446,0.12048192771084337,0.7272727272727273,0.06568144499178982,0.1248868778280543,0.6272727272727273,0.06934673366834171,0.14334470989761092,0.38181818181818183,0.08823529411764706,,
CatBoost_balanced_d4,,class_weight,0.5189143935842462,0.16623376623376626,0.5399833247081823,0.0877515552431317,3.149,0.5189143935842462,0.14323607427055704,0.10112359550561797,0.24545454545454545,1341,240,83,27,0.15789473684210525,0.5,0.13953488372093023,0.09375,0.2727272727272727,1291,290,80,30,0.18923713778829096,0.11838006230529595,0.6909090909090909,0.06473594548551959,0.11915673693858846,0.5909090909090909,0.06625891946992865,0.12276785714285714,0.5,0.06997455470737914,0.13953488372093023,0.2727272727272727,0.09375,,
blend_top5_percentile_equal,,validation_percentile_blend,0.7454760496747487,0.16599190283400808,0.5484302225288943,0.09452979605292214,13.543,0.7454760496747487,0.12916666666666668,0.08378378378378379,0.2818181818181818,1242,339,79,31,0.21880544056771142,0.5,0.13457556935817805,0.07593457943925233,0.5909090909090909,790,791,45,65,0.5062093435836783,0.12291350531107739,0.7363636363636363,0.06705298013245033,0.12300319488817892,0.7,0.06742556917688267,0.12575366063738158,0.6636363636363637,0.06945765937202664,0.13457556935817805,0.5909090909090909,0.07593457943925233,RF_balanced_subsample;XGB_aucpr_d2_spw;CatBoost_balanced_d4;XGB_aucpr_d3_spw;LGBM_is_unbalance_leaf7,equal
XGB_aucpr_d3_spw,14.413373860182372,scale_pos_weight,0.5407053828239441,0.16363636363636364,0.5565867402679547,0.09414483222483985,0.66,0.5407053828239441,0.13850415512465375,0.099601593625498,0.22727272727272727,1355,226,85,25,0.14843287995269072,0.5,0.12836438923395446,0.08310991957104558,0.2818181818181818,1239,342,79,31,0.22057953873447664,0.12558139534883722,0.7363636363636363,0.06864406779661017,0.12797074954296161,0.6363636363636364,0.07113821138211382,0.13727810650887573,0.5272727272727272,0.07891156462585033,0.12836438923395446,0.2818181818181818,0.08310991957104558,,
blend_diverse_percentile_equal,,validation_percentile_blend,0.5473684210526316,0.15777262180974477,0.5399229486516014,0.09291069700495337,14.05,0.5473684210526316,0.12910798122065728,0.07412398921832884,0.5,894,687,55,55,0.43879361324659966,0.5,0.12525667351129363,0.07060185185185185,0.5545454545454546,778,803,49,61,0.5109402720283855,0.12342007434944238,0.7545454545454545,0.06720647773279352,0.12106918238993711,0.7,0.06626506024096386,0.12585034013605442,0.6727272727272727,0.06941838649155722,0.12525667351129363,0.5545454545454546,0.07060185185185185,XGB_aucpr_d2_spw;LGBM_is_unbalance_leaf7;CatBoost_balanced_d4;HistGB_balanced;RF_balanced_subsample,equal
LGBM_is_unbalance_leaf7,,is_unbalance,0.4319228439717486,0.15768725361366623,0.5529440515209015,0.0904358901635698,0.439,0.4319228439717486,0.13279132791327913,0.07802547770700637,0.44545454545454544,1002,579,61,49,0.371377882909521,0.5,0.13588110403397027,0.0886426592797784,0.2909090909090909,1252,329,78,32,0.21348314606741572,0.12782540919719407,0.7454545454545455,0.06990622335890878,0.1276207839562443,0.6363636363636364,0.07092198581560284,0.13302752293577982,0.5272727272727272,0.07611548556430446,0.13588110403397027,0.2909090909090909,0.0886426592797784,,
