model,scale_pos_weight,imbalance_mode,selected_threshold,val_best_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_threshold,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_threshold,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,test_f1_at_0_3,test_recall_at_0_3,test_precision_at_0_3,test_f1_at_0_35,test_recall_at_0_35,test_precision_at_0_35,test_f1_at_0_4,test_recall_at_0_4,test_precision_at_0_4,test_f1_at_0_5,test_recall_at_0_5,test_precision_at_0_5,blend_members,blend_weighting
blend_top3_percentile_equal,,validation_percentile_blend,0.8712793219002563,0.18309859154929578,0.5441320223103905,0.09631869198054134,12.517,0.8712793219002563,0.11971830985915492,0.09770114942528736,0.15454545454545454,1424,157,93,17,0.1028976936723832,0.5,0.13584117032392895,0.07674144037780402,0.5909090909090909,799,782,45,65,0.5008870490833827,0.1202775636083269,0.7090909090909091,0.06571187868576242,0.12205044751830757,0.6818181818181818,0.06702412868632708,0.1256544502617801,0.6545454545454545,0.0694980694980695,0.13584117032392895,0.5909090909090909,0.07674144037780402,RF_balanced_subsample;XGB_aucpr_d2_spw;XGB_aucpr_d3_spw,equal
blend_top3_probability_equal,,validation_probability_blend,0.5307721437061222,0.1829652996845426,0.5477545857052499,0.09759720602918516,12.114,0.5307721437061222,0.12618296529968454,0.0966183574879227,0.18181818181818182,1394,187,90,20,0.12241277350680072,0.5,0.12669683257918551,0.08433734939759036,0.2545454545454545,1277,304,82,28,0.19633353045535187,0.12058212058212059,0.7909090909090909,0.06526631657914479,0.12169735788630905,0.6909090909090909,0.06672519754170325,0.13743589743589743,0.6090909090909091,0.07745664739884393,0.12669683257918551,0.2545454545454545,0.08433734939759036,RF_balanced_subsample;XGB_aucpr_d2_spw;XGB_aucpr_d3_spw,equal
RF_balanced_subsample,,class_weight,0.4559329649619151,0.18248175182481752,0.5157782761198322,0.09514019007970308,2.187,0.4559329649619151,0.12406015037593984,0.07819905213270142,0.3,1192,389,77,33,0.2495564754583087,0.5,0.11960132890365449,0.09424083769633508,0.16363636363636364,1408,173,92,18,0.11295091661738617,0.12156862745098039,0.8454545454545455,0.06549295774647887,0.11629686304514154,0.6909090909090909,0.06349206349206349,0.1101871101871102,0.4818181818181818,0.062206572769953054,0.11960132890365449,0.16363636363636364,0.09424083769633508,,
XGB_aucpr_d2_spw,14.413373860182372,scale_pos_weight,0.5380303859710693,0.1770334928229665,0.5530274279799896,0.09654043294353223,1.198,0.5380303859710693,0.13333333333333333,0.09032258064516129,0.2545454545454545,1299,282,82,28,0.18332347723240686,0.5,0.14751286449399656,0.09090909090909091,0.39090909090909093,1151,430,67,43,0.27971614429331754,0.12217795484727756,0.8363636363636363,0.0659025787965616,0.12235649546827794,0.7363636363636363,0.06672158154859967,0.12544802867383512,0.6363636363636364,0.06958250497017893,0.14751286449399656,0.39090909090909093,0.09090909090909091,,
blend_top4_percentile_valf1,,validation_percentile_blend,0.8399236257312614,0.17500000000000002,0.5437065148640101,0.09853082963351867,12.922,0.8399236257312614,0.13649851632047477,0.1013215859030837,0.20909090909090908,1377,204,87,23,0.1342400946185689,0.5,0.13485477178423236,0.07611241217798595,0.5909090909090909,792,789,45,65,0.5050266114725015,0.11969696969696969,0.7181818181818181,0.0652892561983471,0.12277867528271405,0.6909090909090909,0.0673758865248227,0.12371134020618557,0.6545454545454545,0.0683111954459203,0.13485477178423236,0.5909090909090909,0.07611241217798595,RF_balanced_subsample;XGB_aucpr_d2_spw;XGB_aucpr_d3_spw;LGBM_is_unbalance_leaf7,validation_f1
blend_top5_percentile_equal,,validation_percentile_blend,0.859136605558841,0.1708185053380783,0.544189523316658,0.10273082826629643,13.35,0.859136605558841,0.13559322033898305,0.10810810810810811,0.18181818181818182,1416,165,90,20,0.10940272028385571,0.5,0.13182286302780638,0.0743321718931475,0.5818181818181818,784,797,46,64,0.5091661738616203,0.12066365007541478,0.7272727272727273,0.06578947368421052,0.12248186946011282,0.6909090909090909,0.0671971706454465,0.12315698178664354,0.6454545454545455,0.06807286673058485,0.13182286302780638,0.5818181818181818,0.0743321718931475,RF_balanced_subsample;XGB_aucpr_d2_spw;XGB_aucpr_d3_spw;LGBM_is_unbalance_leaf7;CatBoost_balanced_d4,equal
XGB_aucpr_d3_spw,14.413373860182372,scale_pos_weight,0.5107281804084778,0.16783216783216784,0.5539071933758841,0.09192660814992105,0.745,0.5107281804084778,0.12556053811659193,0.08333333333333333,0.2545454545454545,1273,308,82,28,0.1986989946777055,0.5,0.12526096033402923,0.08130081300813008,0.2727272727272727,1242,339,80,30,0.218214074512123,0.12490118577075099,0.7181818181818181,0.0683982683982684,0.12933458294283037,0.6272727272727273,0.07210031347962383,0.1413427561837456,0.5454545454545454,0.08119079837618404,0.12526096033402923,0.2727272727272727,0.08130081300813008,,
blend_diverse_percentile_equal,,validation_percentile_blend,0.8866942637492609,0.16143497757847536,0.5338019665344144,0.10168267143075593,13.818,0.8866942637492609,0.1087866108786611,0.10077519379844961,0.11818181818181818,1465,116,97,13,0.07628622117090479,0.5,0.12665985699693566,0.0713463751438435,0.5636363636363636,774,807,48,62,0.5138971023063276,0.12296296296296297,0.7545454545454545,0.06693548387096775,0.12222222222222222,0.7,0.06695652173913043,0.12414965986394558,0.6636363636363637,0.06848030018761726,0.12665985699693566,0.5636363636363636,0.0713463751438435,XGB_aucpr_d2_spw;LGBM_is_unbalance_leaf7;CatBoost_balanced_d4;HistGB_balanced;RF_balanced_subsample,equal
LGBM_is_unbalance_leaf7,,is_unbalance,0.5404507146435669,0.1568627450980392,0.5386033005577597,0.0891423223029549,0.406,0.5404507146435669,0.11235955056179775,0.08130081300813008,0.18181818181818182,1355,226,90,20,0.14547604967474867,0.5,0.13865546218487396,0.09016393442622951,0.3,1248,333,77,33,0.21643997634535778,0.12394797245600613,0.7363636363636363,0.06766917293233082,0.12931798051372898,0.6636363636363637,0.07163886162904809,0.12362030905077263,0.509090909090909,0.07035175879396985,0.13865546218487396,0.3,0.09016393442622951,,
CatBoost_balanced_d4,,class_weight,0.38687560045817343,0.1490280777537797,0.5422804899085735,0.09132542465541797,3.173,0.38687560045817343,0.12513484358144553,0.07099143206854346,0.5272727272727272,822,759,52,58,0.48314606741573035,0.5,0.14666666666666667,0.09705882352941177,0.3,1274,307,77,33,0.20106445890005914,0.12218649517684887,0.6909090909090909,0.06701940035273368,0.12093023255813953,0.5909090909090909,0.06735751295336788,0.12998859749144812,0.5181818181818182,0.07431551499348109,0.14666666666666667,0.3,0.09705882352941177,,
HistGB_balanced,,class_weight,0.4415632021061194,0.13679245283018868,0.5075010062676096,0.0833228666902745,2.36,0.4415632021061194,0.11764705882352941,0.07936507936507936,0.22727272727272727,1291,290,85,25,0.1862803075103489,0.5,0.11356466876971609,0.08695652173913043,0.16363636363636364,1392,189,92,18,0.12241277350680072,0.10628019323671498,0.4,0.06128133704735376,0.10510948905109489,0.32727272727272727,0.06260869565217392,0.113345521023766,0.2818181818181818,0.07093821510297482,0.11356466876971609,0.16363636363636364,0.08695652173913043,,
LGBM_is_unbalance_leaf15,,is_unbalance,0.19897006259914052,0.13414634146341461,0.5502156287735036,0.09260519145390259,0.492,0.19897006259914052,0.13157894736842105,0.07281553398058252,0.6818181818181818,626,955,35,75,0.6091070372560615,0.5,0.10725552050473186,0.0821256038647343,0.15454545454545454,1391,190,93,17,0.12241277350680072,0.13630731102850063,0.5,0.07890961262553801,0.13273001508295626,0.4,0.07956600361663653,0.11695906432748537,0.2727272727272727,0.07444168734491315,0.10725552050473186,0.15454545454545454,0.0821256038647343,,
